,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000026,Redbridge,15,455,"2,710",335,630,"1,635",820,790,"1,595",205,850,"2,260","1,390",70,405,865,810,"15,840",,,,,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,30,335,995,120,425,"1,165",245,755,"1,910",230,610,"3,735","1,330",25,350,655,"1,280","14,195",,,,,,,,,,,,,,,,,,
E09000028,Southwark,25,625,"1,055",125,520,"2,175",455,"1,420","2,325",475,675,"4,130","1,940",70,415,895,"1,615","18,940",,,,,,,,,,,,,,,,,,
E09000029,Sutton,30,310,"1,865",195,350,795,340,530,"1,085",155,265,"1,345",850,25,220,510,550,"9,420",,,,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,15,620,950,175,865,"1,740",595,"1,530","2,765",550,995,"3,605","2,000",65,560,730,"1,305","19,065",,,,,,,,,,,,,,,,,,
E09000031,Waltham Forest,25,505,"2,380",235,575,"1,475",680,800,"1,170",120,395,"1,940","1,175",20,255,560,965,"13,275",,,,,,,,,,,,,,,,,,
E09000032,Wandsworth,30,515,"1,195",150,720,"1,555",390,"1,190","1,930",300,840,"4,270","1,935",40,420,860,"1,505","17,845",,,,,,,,,,,,,,,,,,
E09000033,Westminster,125,"1,585","3,375",180,"1,970","5,605",720,"4,000","5,760","4,480","5,475","12,725","6,645",280,785,"1,870","4,930","60,510",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,445,"9,600","20,250","2,070","11,200","29,400","7,075","20,580","38,355","13,020","17,710","70,455","33,140","1,000","6,360","11,755","24,210","316,625",,,,,,,,,,,,,,,,,,
E13000002,Outer London,465,"9,205","42,960","6,005","12,515","28,620","13,515","15,455","26,820","4,215","12,570","43,375","25,065",810,"6,290","13,610","17,490","278,985",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"3,995","5,650","10,400","2,985","3,015","10,115","4,260","8,545","3,345","1,680","2,960","11,195","7,435",925,"2,485","5,785","6,665","91,440",,,,,,,,,,,,,,,,,,
E12000002,North West,"11,295","18,145","34,795","9,880","15,050","35,610","16,520","23,835","14,820","8,760","12,250","41,700","27,750","2,065","7,810","18,250","20,670","319,205",,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,"11,180","15,620","26,560","8,160","9,520","24,415","14,245","18,240","9,450","4,680","8,245","26,290","17,890","2,010","5,575","12,835","14,330","229,245",,,,,,,,,,,,,,,,,,
E12000004,East Midlands,"10,735","14,560","26,460","7,880","10,485","22,060","14,405","14,360","9,185","5,770","7,595","25,265","17,165","2,055","5,420","11,265","14,345","219,010",,,,,,,,,,,,,,,,,,
E12000005,West Midlands,"12,205","16,985","29,405","9,120","11,515","26,060","18,865","18,360","11,890","4,720","9,405","30,345","22,320","1,780","6,195","13,655","15,390","258,215",,,,,,,,,,,,,,,,,,
E12000006,East,"11,450","16,985","47,160","10,315","12,465","26,540","17,215","18,985","19,565","6,400","11,580","43,150","27,225","2,585","7,410","14,555","18,945","312,530",,,,,,,,,,,,,,,,,,
E12000007,London,910,"18,805","63,210","8,075","23,715","58,020","20,590","36,035","65,175","17,235","30,280","113,830","58,205","1,810","12,650","25,365","41,700","595,610",,,,,,,,,,,,,,,,,,
E12000008,South East,"11,515","22,665","62,815","13,250","17,605","42,940","18,430","28,610","40,055","10,385","17,465","77,300","42,805","2,945","11,340","23,170","30,425","473,720",,,,,,,,,,,,,,,,,,
E12000009,South West,"23,310","15,675","35,740","8,950","9,225","26,055","11,265","21,315","15,095","5,785","10,335","35,425","21,245","2,565","6,455","14,120","16,765","279,325",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"96,595","145,090","336,545","78,615","112,595","271,815","135,795","188,285","188,580","65,415","110,115","404,500","242,040","18,740","65,340","139,000","179,235","2,778,300",,,,,,,,,,,,,,,,,,
W92000004,Wales,"13,780","7,515","14,890","4,375","4,155","13,315","6,550","11,315","4,655","2,350","3,675","12,195","9,780","1,745","3,295","7,960","8,480","130,030",,,,,,,,,,,,,,,,,,
S92000003,Scotland,"17,660","12,575","22,980","5,825","7,210","23,000","8,595","18,385","8,925","4,230","7,170","28,465","16,645","2,890","5,195","12,280","16,440","218,470",,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,"18,385","6,025","11,340","3,175","3,690","8,875","3,725","5,240","2,315","1,680","2,930","6,835","4,210",715,"3,310","4,755","5,975","93,180",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,England and Wales,"110,375","152,605","351,435","82,990","116,750","285,130","142,345","199,600","193,235","67,765","113,790","416,695","251,820","20,485","68,635","146,960","187,715","2,908,330",,,,,,,,,,,,,,,,,,
K03000001,Great Britain,"128,035","165,180","374,415","88,815","123,960","308,130","150,940","217,985","202,160","71,995","120,960","445,160","268,465","23,375","73,830","159,240","204,155","3,126,800",,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,"146,420","171,205","385,755","91,990","127,650","317,005","154,665","223,225","204,475","73,675","123,890","451,995","272,675","24,090","77,140","163,995","210,130","3,219,980",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
