,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,25,910,800,30,730,"1,060",255,"1,220","2,655","3,725","1,130","8,000","3,310",45,275,390,"1,050","25,610",,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,10,365,"2,020",280,475,915,840,460,510,75,180,780,855,145,190,495,405,"9,000",,,,,,,,,,,,,,,,,,
E09000003,Barnet,45,725,"3,855",405,"1,555","3,520",740,"1,135","2,305",545,"2,400","4,715","2,345",45,620,"1,285","1,685","27,925",,,,,,,,,,,,,,,,,,
E09000004,Bexley,15,440,"2,155",265,350,880,545,650,785,130,260,"1,285",855,25,250,510,600,"10,000",,,,,,,,,,,,,,,,,,
E09000005,Brent,5,625,"2,600",475,975,"1,990",960,"1,090","1,470",235,870,"2,305","1,480",50,365,765,"1,125","17,385",,,,,,,,,,,,,,,,,,
E09000006,Bromley,55,500,"2,585",275,505,"1,445",435,925,"1,610",330,585,"2,960","1,605",20,400,870,"1,190","16,295",,,,,,,,,,,,,,,,,,
E09000007,Camden,55,"1,110","1,815",210,"1,430","3,310",945,"2,230","5,375",905,"1,750","10,380","3,620",95,810,"1,240","2,885","38,165",,,,,,,,,,,,,,,,,,
E09000008,Croydon,20,530,"2,535",380,590,"1,790",785,"1,070","1,630",290,620,"2,545","1,470",70,425,"1,050","1,070","16,870",,,,,,,,,,,,,,,,,,
E09000009,Ealing,20,765,"2,630",485,"1,165","2,170","1,020","1,080","1,960",220,880,"2,900","1,725",30,410,870,"1,255","19,585",,,,,,,,,,,,,,,,,,
E09000010,Enfield,40,650,"2,745",430,885,"1,695",940,900,"1,190",220,805,"2,225","1,545",25,360,800,"1,100","16,555",,,,,,,,,,,,,,,,,,
E09000011,Greenwich,10,410,"1,560",170,360,"1,180",515,810,"1,205",125,345,"1,800","1,125",35,335,685,835,"11,505",,,,,,,,,,,,,,,,,,
E09000012,Hackney,20,895,"1,655",150,855,"2,185",480,"1,310","4,490",385,"1,700","5,900","2,370",45,560,840,"1,820","25,660",,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,10,390,855,130,585,"1,540",230,945,"1,670",380,725,"3,015","1,535",100,315,550,"1,170","14,145",,,,,,,,,,,,,,,,,,
E09000014,Haringey,20,600,"1,665",180,645,"1,435",535,920,"1,490",135,740,"2,500","1,325",30,325,625,"1,355","14,525",,,,,,,,,,,,,,,,,,
E09000015,Harrow,20,360,"2,595",335,770,"1,450",675,680,"1,740",310,"1,075","2,940","1,270",10,320,790,785,"16,125",,,,,,,,,,,,,,,,,,
E09000016,Havering,35,475,"2,760",375,440,"1,105",675,680,655,175,370,"1,255","1,030",35,235,570,670,"11,540",,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,30,630,"2,595",465,805,"1,735","1,315","1,015","1,525",285,665,"2,010","1,470",55,330,675,825,"16,430",,,,,,,,,,,,,,,,,,
E09000018,Hounslow,25,440,"1,640",350,760,"1,435","1,115",870,"2,025",235,560,"2,215","1,385",35,320,580,960,"14,950",,,,,,,,,,,,,,,,,,
E09000019,Islington,30,710,"1,365",130,890,"1,995",435,"1,455","3,970",650,970,"5,645","2,465",45,505,910,"1,905","24,075",,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,55,375,815,80,565,"1,930",210,"1,120","1,305",555,"1,165","3,420","1,795",30,330,685,"1,335","15,770",,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,20,295,"1,045",175,395,"1,185",270,585,"1,140",135,340,"1,840",880,70,215,485,630,"9,705",,,,,,,,,,,,,,,,,,
E09000022,Lambeth,15,430,"1,120",150,435,"1,405",415,"1,300","1,910",180,675,"3,095","1,655",70,350,850,"1,420","15,475",,,,,,,,,,,,,,,,,,
E09000023,Lewisham,10,335,"1,120",150,290,"1,100",425,895,"1,310",120,330,"2,020",975,30,275,680,"1,065","11,130",,,,,,,,,,,,,,,,,,
E09000024,Merton,15,390,"1,690",255,505,"1,055",600,630,"1,310",195,495,"2,320","1,280",20,285,590,750,"12,385",,,,,,,,,,,,,,,,,,
E09000025,Newham,10,500,"2,465",230,700,"2,365",985,"1,045","1,400",180,540,"1,750","1,570",55,435,630,850,"15,710",,,,,,,,,,,,,,,,,,
