,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,395,"9,510","19,280","1,990","10,670","27,960","6,810","20,010","39,200","13,320","17,165","72,745","32,680","1,015","6,070","11,440","23,695","313,955",,,,,,,,,,,,,,,,,,
E13000002,Outer London,440,"8,975","41,500","5,805","12,085","28,495","13,415","14,830","30,670","4,435","11,770","46,595","24,900",805,"6,025","13,430","17,095","281,270",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"3,945","5,845","10,105","2,900","2,970","9,975","3,865","8,330","3,555","1,695","2,825","11,765","7,290",945,"2,490","5,820","6,550","90,870",,,,,,,,,,,,,,,,,,
E12000002,North West,"11,100","18,260","33,495","9,645","14,510","36,145","17,120","22,860","15,890","8,945","11,700","44,005","27,605","2,095","7,705","18,200","20,135","319,415",,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,"11,095","15,380","25,330","7,935","9,465","24,190","14,695","17,835","10,065","4,805","7,880","27,325","17,615","2,080","5,465","12,730","14,080","227,970",,,,,,,,,,,,,,,,,,
E12000004,East Midlands,"10,615","14,830","25,455","7,750","10,625","20,210","15,795","14,145","10,010","5,875","7,315","26,245","17,410","2,060","5,425","11,190","13,940","218,895",,,,,,,,,,,,,,,,,,
E12000005,West Midlands,"12,085","17,315","27,475","8,840","11,625","25,530","17,200","17,175","12,805","4,825","9,005","31,845","24,265","1,775","6,130","13,550","15,090","256,535",,,,,,,,,,,,,,,,,,
E12000006,East,"11,355","17,125","45,190","10,060","12,475","26,525","16,840","18,115","21,405","6,470","10,935","45,055","26,820","2,585","7,310","14,370","18,595","311,230",,,,,,,,,,,,,,,,,,
E12000007,London,835,"18,485","60,780","7,795","22,755","56,455","20,225","34,840","69,870","17,755","28,935","119,340","57,580","1,820","12,095","24,870","40,790","595,225",,,,,,,,,,,,,,,,,,
E12000008,South East,"11,345","22,775","60,655","13,055","17,410","47,165","19,085","27,810","44,025","10,535","16,810","81,355","42,570","2,960","11,315","22,940","29,965","481,775",,,,,,,,,,,,,,,,,,
E12000009,South West,"23,000","15,800","34,115","8,750","9,280","25,535","11,485","20,520","16,215","5,850","9,995","36,820","20,985","2,515","6,290","14,100","16,560","277,815",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"95,375","145,815","322,600","76,730","111,115","271,730","136,310","181,630","203,840","66,755","105,400","423,755","242,140","18,835","64,225","137,770","175,705","2,779,730",,,,,,,,,,,,,,,,,,
W92000004,Wales,"13,745","7,845","14,320","4,280","4,130","13,135","6,560","10,890","4,830","2,430","3,560","12,625","9,530","1,780","3,245","7,970","8,420","129,295",,,,,,,,,,,,,,,,,,
S92000003,Scotland,"17,650","12,745","22,220","5,715","7,190","22,625","8,425","17,845","10,230","4,530","6,945","31,100","16,905","3,165","5,185","12,245","16,355","221,075",,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,"18,250","5,930","10,965","3,030","3,685","8,910","3,655","5,070","2,340","1,720","2,855","6,710","4,180",750,"3,305","4,715","5,945","92,015",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,England and Wales,"109,120","153,660","336,920","81,010","115,245","284,865","142,870","192,520","208,670","69,185","108,960","436,380","251,670","20,615","67,470","145,740","184,125","2,909,025",,,,,,,,,,,,,,,,,,
K03000001,Great Britain,"126,770","166,405","359,140","86,725","122,435","307,490","151,295","210,365","218,900","73,715","115,905","467,480","268,575","23,780","72,655","157,985","200,480","3,130,100",,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,"145,020","172,335","370,105","89,755","126,120","316,400","154,950","215,435","221,240","75,435","118,760","474,190","272,755","24,530","75,960","162,700","206,425","3,222,115",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
