year,code,area,active_enterprises,births,birth_rate,deaths,death_rate
2021,E09000026,Redbridge,17305,2735,15.8,2395,13.8
2021,E09000027,Richmond upon Thames,14795,1585,10.7,1650,11.2
2021,E09000028,Southwark,18780,2825,15.0,2195,11.7
2021,E09000029,Sutton,9615,1145,11.9,1085,11.3
2021,E09000030,Tower Hamlets,19200,2785,14.5,2390,12.4
2021,E09000031,Waltham Forest,14015,2230,15.9,1720,12.3
2021,E09000032,Wandsworth,18625,2440,13.1,2485,13.3
2021,E09000033,Westminster,56610,7145,12.6,4900,8.7
2021,E12000003,Yorkshire And The Humber,203020,24985,12.3,22060,10.9
2021,K04000001,England And Wales,2698655,338430,12.5,302480,11.2
