,,Employment size,,,,,,,,
Code,Area,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total,
,,,,,,,,,,
E09000001,City of London,"17,910","3,585","2,760","1,725",750,515,365,"27,610",
E09000002,Barking and Dagenham,"6,545",805,460,260,100,70,15,"8,255",
E09000003,Barnet,"21,690","2,290","1,185",600,220,105,35,"26,125",
E09000004,Bexley,"7,865","1,030",580,370,145,80,30,"10,100",
E09000005,Brent,"13,825","1,750",900,480,215,140,50,"17,360",
E09000006,Bromley,"13,550","1,700",860,545,220,105,35,"17,015",
E09000007,Camden,"27,490","4,005","2,545","1,620",595,365,185,"36,805",
E09000008,Croydon,"13,765","1,750",960,610,185,110,50,"17,430",
E09000009,Ealing,"15,690","2,015",975,605,235,115,50,"19,685",
E09000010,Enfield,"12,060","1,615",800,460,205,105,40,"15,285",
E09000011,Greenwich,"9,550","1,030",605,420,150,80,30,"11,865",
E09000012,Hackney,"18,925","2,180","1,345",740,235,90,35,"23,550",
E09000013,Hammersmith and Fulham,"10,735","1,595","1,005",675,215,135,60,"14,420",
E09000014,Haringey,"11,330","1,325",660,375,105,45,15,"13,855",
E09000015,Harrow,"13,640","1,355",675,300,90,65,15,"16,140",
E09000016,Havering,"9,130","1,350",715,380,160,85,25,"11,845",
E09000017,Hillingdon,"12,135","1,640","1,005",685,310,195,100,"16,070",
E09000018,Hounslow,"11,775","1,490",890,510,230,145,75,"15,115",
E09000019,Islington,"17,615","2,430","1,585","1,050",410,220,120,"23,430",
E09000020,Kensington and Chelsea,"11,580","2,085","1,255",665,210,100,45,"15,940",
E09000021,Kingston upon Thames,"8,020",935,585,370,115,65,30,"10,120",
E09000022,Lambeth,"12,270","1,535","1,065",690,195,115,65,"15,935",
E09000023,Lewisham,"9,440","1,005",550,305,125,60,20,"11,505",
E09000024,Merton,"10,230","1,095",640,415,155,55,30,"12,620",
E09000025,Newham,"11,315","1,415",755,485,195,120,50,"14,335",
E09000026,Redbridge,"13,195","1,415",675,330,140,75,20,"15,850",
E09000027,Richmond upon Thames,"12,010","1,345",770,415,150,60,30,"14,780",
E09000028,Southwark,"13,710","2,195","1,550","1,045",400,210,115,"19,225",
E09000029,Sutton,"7,720",960,495,290,115,70,30,"9,680",
E09000030,Tower Hamlets,"14,550","2,185","1,400",935,310,180,150,"19,710",
E09000031,Waltham Forest,"10,695","1,160",595,300,115,60,20,"12,945",
E09000032,Wandsworth,"15,350","1,790","1,010",580,215,95,30,"19,070",
E09000033,Westminster,"39,485","8,610","5,815","3,205","1,200",640,375,"59,330",
,,,,,,,,,,
E13000001,Inner London,"231,705","35,940","23,300","14,095","5,160","2,890","1,630","314,720",
E13000002,Outer London,"223,090","26,730","14,370","8,345","3,255","1,785",710,"278,285",
,,,,,,,,,,
E12000001,North East,"58,855","13,875","8,295","5,595","1,940","1,045",455,"90,060",
E12000002,North West,"220,970","42,275","24,805","17,350","5,855","3,245","1,360","315,860",
E12000003,Yorkshire and The Humber,"155,505","31,410","18,770","12,710","4,490","2,310",960,"226,155",
E12000004,East Midlands,"151,310","28,410","16,445","11,300","3,750","2,140",810,"214,165",
E12000005,West Midlands,"182,935","35,675","19,555","12,970","4,705","2,520","1,110","259,470",
E12000006,East,"227,320","38,885","22,225","14,525","4,980","2,670",995,"311,600",
E12000007,London,"454,795","62,670","37,670","22,440","8,415","4,675","2,340","593,005",
E12000008,South East,"354,880","56,915","33,820","22,160","7,285","4,055","1,655","480,770",
E12000009,South West,"196,345","37,765","22,165","14,270","4,465","2,355",900,"278,265", 
,,,,,,,,,,
E92000001,England,"2,002,915","347,880","203,750","133,320","45,885","25,015","10,585","2,769,350",
W92000004,Wales,"88,085","18,955","10,790","6,925","2,105","1,195",515,"128,570",
S92000003,Scotland,"147,910","34,060","20,810","13,290","4,465","2,385","1,070","223,990",
N92000002,Northern Ireland,"64,660","11,915","7,140","4,590","1,550",715,300,"90,870",
,,,,,,,,,,
K04000001,England and Wales,"2,091,000","366,835","214,540","140,245","47,990","26,210","11,100","2,897,920",
K03000001,Great Britain,"2,238,910","400,895","235,350","153,535","52,455","28,595","12,170","3,121,910",
K02000001,United Kingdom,"2,303,570","412,810","242,490","158,125","54,005","29,310","12,470","3,212,780",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
