,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,25,835,785,30,640,"1,425",290,"1,280","2,415","3,700","1,095","8,040","5,225",55,215,335,"1,070","27,460",,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,10,335,"1,645",225,405,710,620,430,665,90,140,790,790,170,195,495,380,"8,095",,,,,,,,,,,,,,,,,,
E09000003,Barnet,35,610,"3,385",360,"1,205","2,400",635,"1,000","2,690",535,"2,145","4,955","2,270",55,540,"1,230","1,610","25,660",,,,,,,,,,,,,,,,,,
E09000004,Bexley,10,450,"1,980",270,330,815,405,580,"1,090",185,225,"1,490",855,25,230,490,555,"9,985",,,,,,,,,,,,,,,,,,
E09000005,Brent,5,575,"2,400",405,955,"1,895",690,935,"1,900",270,775,"2,650","1,375",65,315,745,"1,035","16,990",,,,,,,,,,,,,,,,,,
E09000006,Bromley,65,475,"2,465",265,505,"1,570",330,855,"2,150",385,520,"3,505","1,620",25,385,840,"1,205","17,165",,,,,,,,,,,,,,,,,,
E09000007,Camden,35,"1,195","1,590",165,"1,285","2,885",510,"2,170","4,990",855,"1,585","10,310","3,520",115,725,"1,180","2,925","36,040",,,,,,,,,,,,,,,,,,
E09000008,Croydon,20,530,"2,335",395,575,"1,615",510,"1,015","2,095",340,550,"2,920","1,485",55,415,990,"1,015","16,860",,,,,,,,,,,,,,,,,,
E09000009,Ealing,20,735,"2,500",430,"1,185","1,895",845,"1,010","2,450",285,750,"3,330","1,680",30,385,815,"1,215","19,560",,,,,,,,,,,,,,,,,,
E09000010,Enfield,30,550,"2,330",375,785,"1,305",635,745,"1,340",240,675,"2,305","1,320",25,325,770,935,"14,690",,,,,,,,,,,,,,,,,,
E09000011,Greenwich,10,360,"1,470",180,295,"1,015",380,715,"1,585",155,295,"2,200","1,160",40,300,660,790,"11,610",,,,,,,,,,,,,,,,,,
E09000012,Hackney,15,725,"1,300",125,675,"1,635",305,"1,125","4,175",350,"1,400","5,685","2,135",50,460,720,"1,680","22,560",,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,15,400,870,130,570,"1,480",240,925,"1,870",340,650,"3,400","1,545",90,290,550,"1,215","14,580",,,,,,,,,,,,,,,,,,
E09000014,Haringey,15,525,"1,470",185,565,"1,310",375,760,"1,625",145,685,"2,610","1,080",30,275,565,"1,260","13,480",,,,,,,,,,,,,,,,,,
E09000015,Harrow,15,375,"2,300",315,715,"1,270",535,620,"2,335",320,915,"3,290","1,205",15,275,720,875,"16,095",,,,,,,,,,,,,,,,,,
E09000016,Havering,30,495,"2,510",340,420,"1,010",585,625,875,225,310,"1,420",985,30,225,545,635,"11,265",,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,30,565,"2,225",430,735,"1,610","1,135",900,"1,840",285,530,"2,280","1,465",55,280,640,805,"15,810",,,,,,,,,,,,,,,,,,
E09000018,Hounslow,25,430,"1,465",335,725,"1,225",915,845,"2,605",245,485,"2,520","1,410",35,280,585,950,"15,080",,,,,,,,,,,,,,,,,,
E09000019,Islington,20,665,"1,165",100,730,"1,625",340,"1,350","3,885",620,830,"5,855","2,230",45,385,805,"1,755","22,405",,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,40,390,790,80,575,"1,880",190,"1,110","1,365",555,"1,155","3,675","1,735",35,305,680,"1,365","15,925",,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,15,265,975,175,395,"1,165",200,530,"1,410",170,355,"2,210",905,75,180,480,620,"10,125",,,,,,,,,,,,,,,,,,
E09000022,Lambeth,10,375,"1,070",130,380,"1,210",305,"1,190","2,325",230,605,"3,720","1,625",75,345,780,"1,410","15,785",,,,,,,,,,,,,,,,,,
E09000023,Lewisham,10,325,"1,070",155,280,995,295,790,"1,640",160,290,"2,345",995,35,270,645,"1,045","11,345",,,,,,,,,,,,,,,,,,
E09000024,Merton,15,375,"1,525",225,495,970,425,585,"1,625",205,430,"2,730","1,280",30,265,560,785,"12,525",,,,,,,,,,,,,,,,,,
E09000025,Newham,5,420,"2,010",205,540,"1,760",695,850,"1,560",200,465,"1,885","2,010",60,345,620,735,"14,365",,,,,,,,,,,,,,,,,,
