,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000026,Redbridge,15,395,"2,345",295,585,"1,355",565,645,"2,190",240,675,"2,670","1,255",45,335,830,780,"15,220",,,,,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,20,335,925,115,370,"1,095",195,710,"2,305",265,575,"4,120","1,365",20,355,630,"1,290","14,690",,,,,,,,,,,,,,,,,,
E09000028,Southwark,20,630,"1,010",125,530,"1,495",345,"1,315","2,750",495,640,"4,690","1,955",75,380,820,"1,620","18,895",,,,,,,,,,,,,,,,,,
E09000029,Sutton,35,305,"1,785",185,340,790,265,485,"1,275",165,245,"1,600",800,20,195,500,600,"9,590",,,,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,15,605,895,140,850,"1,525",460,"1,295","3,455",645,885,"4,530","1,930",60,470,725,"1,265","19,750",,,,,,,,,,,,,,,,,,
E09000031,Waltham Forest,15,450,"2,175",205,565,"1,435",445,650,"1,295",160,355,"2,085","1,065",20,240,535,815,"12,510",,,,,,,,,,,,,,,,,,
E09000032,Wandsworth,20,480,"1,240",140,695,"1,495",280,"1,090","2,480",365,785,"5,325","1,980",45,405,865,"1,470","19,160",,,,,,,,,,,,,,,,,,
E09000033,Westminster,115,"1,515","3,290",160,"1,835","4,980",650,"3,940","5,595","4,540","5,565","13,005","6,270",320,685,"1,780","4,665","58,910",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,360,"9,085","18,555","1,870","10,150","25,700","5,280","19,190","40,130","13,200","16,635","75,075","34,235","1,090","5,555","11,070","23,480","310,660",,,,,,,,,,,,,,,,,,
E13000002,Outer London,420,"8,610","38,740","5,525","11,585","25,145","10,315","13,880","33,720","4,765","10,950","49,070","24,290",835,"5,720","13,060","16,895","273,525",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"4,130","5,665","9,470","2,845","2,945","9,800","3,045","7,885","3,635","1,775","2,720","12,110","7,285",915,"2,420","5,895","6,480","89,020",,,,,,,,,,,,,,,,,,
E12000002,North West,"11,960","18,070","32,170","9,390","13,280","36,570","15,135","21,465","16,665","9,250","11,050","45,715","27,295","2,140","7,655","17,795","19,920","315,525",,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,"12,095","15,000","24,270","7,720","9,460","23,670","11,740","16,475","10,575","4,890","7,635","27,995","16,585","2,085","5,495","12,755","14,130","222,575",,,,,,,,,,,,,,,,,,
E12000004,East Midlands,"11,530","14,555","23,710","7,665","9,055","19,925","12,460","12,925","10,575","5,895","7,060","26,950","15,825","2,005","5,285","11,025","14,045","210,490",,,,,,,,,,,,,,,,,,
E12000005,West Midlands,"12,985","17,210","26,245","8,795","11,740","24,695","14,695","15,795","13,355","4,980","8,625","32,995","22,955","1,835","6,070","13,285","14,825","251,085",,,,,,,,,,,,,,,,,,
E12000006,East,"12,480","17,075","43,275","9,900","12,530","27,435","15,380","17,210","23,420","6,520","10,530","46,990","26,580","2,545","7,245","14,205","18,535","311,855",,,,,,,,,,,,,,,,,,
E12000007,London,780,"17,695","57,295","7,395","21,735","50,845","15,595","33,070","73,850","17,965","27,585","124,145","58,525","1,925","11,275","24,130","40,375","584,185",,,,,,,,,,,,,,,,,,
E12000008,South East,"12,355","22,475","57,905","12,880","17,750","43,155","15,355","26,740","47,190","10,760","16,210","84,870","43,230","2,825","11,190","22,620","30,130","477,640",,,,,,,,,,,,,,,,,,
E12000009,South West,"25,010","15,385","32,820","8,705","9,405","25,355","8,860","19,750","17,065","6,010","9,805","37,825","20,560","2,420","6,285","14,100","16,810","276,170",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"103,325","143,130","307,160","75,295","107,900","261,450","112,265","171,315","216,330","68,045","101,220","439,595","238,840","18,695","62,920","135,810","175,250","2,738,545",,,,,,,,,,,,,,,,,,
W92000004,Wales,"13,995","7,455","14,000","4,220","4,120","13,695","5,595","10,360","4,950","2,630","3,395","13,085","9,850","1,645","3,275","8,115","8,360","128,745",,,,,,,,,,,,,,,,,,
S92000003,Scotland,"17,845","12,685","21,810","5,585","7,300","22,395","7,505","17,650","11,440","4,825","6,745","33,805","16,605","3,040","5,205","12,325","16,360","223,125",,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,"18,560","5,730","10,650","2,905","3,630","9,115","2,875","4,950","2,210","1,715","2,930","6,460","3,570",805,"3,355","4,740","5,990","90,190",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,England and Wales,"117,320","150,585","321,160","79,515","112,020","275,145","117,860","181,675","221,280","70,675","104,615","452,680","248,690","20,340","66,195","143,925","183,610","2,867,290",,,,,,,,,,,,,,,,,,
K03000001,Great Britain,"135,165","163,270","342,970","85,100","119,320","297,540","125,365","199,325","232,720","75,500","111,360","486,485","265,295","23,380","71,400","156,250","199,970","3,090,415",,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,"153,725","169,000","353,620","88,005","122,950","306,655","128,240","204,275","234,930","77,215","114,290","492,945","268,865","24,185","74,755","160,990","205,960","3,180,605",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
