,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,30,875,670,30,630,"1,330",220,475,"2,435","3,495",990,"7,760","3,630",5,215,270,960,"24,020",,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,10,280,"1,775",230,340,565,675,335,630,60,125,780,685,0,115,320,300,"7,225",,,,,,,,,,,,,,,,,,
E09000003,Barnet,30,610,"3,490",340,"1,090","2,300",650,870,"2,640",465,"2,120","4,850","2,185",5,445,"1,065","1,460","24,615",,,,,,,,,,,,,,,,,,
E09000004,Bexley,10,405,"1,985",230,255,570,405,440,"1,085",135,195,"1,430",780,0,155,355,495,"8,930",,,,,,,,,,,,,,,,,,
E09000005,Brent,5,540,"2,455",375,860,"1,720",675,810,"1,845",200,770,"2,565","1,310",0,235,585,940,"15,890",,,,,,,,,,,,,,,,,,
E09000006,Bromley,55,460,"2,505",225,425,850,330,680,"2,150",325,470,"3,375","1,505",5,290,635,"1,050","15,335",,,,,,,,,,,,,,,,,,
E09000007,Camden,45,"1,045","1,445",150,"1,190","2,425",650,"1,375","5,020",780,"1,500","10,120","3,025",15,560,950,"2,710","33,005",,,,,,,,,,,,,,,,,,
E09000008,Croydon,20,510,"2,355",325,495,"1,425",550,835,"2,045",245,500,"2,865","1,350",0,305,740,915,"15,480",,,,,,,,,,,,,,,,,,
E09000009,Ealing,15,710,"2,510",415,"1,050","1,650",770,800,"2,340",215,710,"3,240","1,580",0,280,645,"1,085","18,015",,,,,,,,,,,,,,,,,,
E09000010,Enfield,35,510,"2,340",365,730,"1,270",665,645,"1,325",175,645,"2,235","1,255",0,230,600,840,"13,865",,,,,,,,,,,,,,,,,,
E09000011,Greenwich,10,350,"1,495",155,270,765,390,480,"1,575",135,255,"2,185",955,0,210,455,670,"10,355",,,,,,,,,,,,,,,,,,
E09000012,Hackney,15,705,"1,385",120,640,"1,525",345,"1,000","4,350",355,"1,350","5,810","2,110",0,380,575,"1,675","22,340",,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,20,375,810,115,475,895,185,635,"1,810",310,590,"3,285","1,350",5,255,405,"1,045","12,565",,,,,,,,,,,,,,,,,,
E09000014,Haringey,15,495,"1,510",175,525,"1,040",365,660,"1,625",105,625,"2,600","1,140",0,235,450,"1,135","12,700",,,,,,,,,,,,,,,,,,
E09000015,Harrow,15,360,"2,380",295,700,"1,040",560,510,"2,245",280,910,"3,255","1,165",0,245,635,685,"15,280",,,,,,,,,,,,,,,,,,
E09000016,Havering,35,430,"2,630",310,345,670,685,520,845,145,290,"1,375","1,135",0,145,420,500,"10,480",,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,30,530,"2,320",370,635,"1,090",995,605,"1,795",220,535,"2,175","1,110",5,250,480,700,"13,845",,,,,,,,,,,,,,,,,,
E09000018,Hounslow,25,375,"1,465",280,625,945,870,585,"2,540",195,440,"2,440","1,170",0,195,430,830,"13,410",,,,,,,,,,,,,,,,,,
E09000019,Islington,25,680,"1,145",95,670,"1,460",325,"1,030","3,905",610,745,"5,775","2,015",5,345,640,"1,705","21,175",,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,40,355,730,75,525,"1,180",165,780,"1,315",505,995,"3,540","1,540",5,245,490,"1,205","13,690",,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,15,255,985,145,335,820,185,380,"1,390",125,300,"2,145",785,0,175,345,540,"8,925",,,,,,,,,,,,,,,,,,
E09000022,Lambeth,10,380,990,125,320,925,280,920,"2,200",185,520,"3,640","1,545",5,250,590,"1,270","14,155",,,,,,,,,,,,,,,,,,
E09000023,Lewisham,10,310,"1,065",135,215,730,285,655,"1,615",120,235,"2,305",995,0,190,495,930,"10,290",,,,,,,,,,,,,,,,,,
E09000024,Merton,10,355,"1,595",205,405,690,445,410,"1,605",175,385,"2,590","1,195",0,195,465,655,"11,380",,,,,,,,,,,,,,,,,,
E09000025,Newham,5,385,"2,045",195,470,"1,385",745,600,"1,585",130,420,"1,855","1,435",0,260,415,605,"12,535",,,,,,,,,,,,,,,,,,
E09000026,Redbridge,15,385,"2,455",270,530,"1,280",650,555,"2,115",175,630,"2,600","1,510",0,255,645,640,"14,710",,,,,,,,,,,,,,,,,,
