,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,20,305,935,110,360,795,185,520,"2,285",215,510,"4,025","1,280",0,290,500,"1,205","13,540",,,,,,,,,,,,,,,,,,
E09000028,Southwark,20,575,940,110,440,"1,370",280,965,"2,645",410,535,"4,480","1,675",5,330,590,"1,530","16,900",,,,,,,,,,,,,,,,,,
E09000029,Sutton,35,285,"1,760",160,285,545,295,400,"1,295",130,205,"1,530",765,0,150,365,505,"8,710",,,,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,15,565,805,135,735,"1,265",425,975,"3,260",515,760,"4,235","1,605",5,395,515,"1,070","17,280",,,,,,,,,,,,,,,,,,
E09000031,Waltham Forest,10,440,"2,200",195,515,"1,265",510,600,"1,295",115,330,"2,055","1,050",0,155,380,740,"11,855",,,,,,,,,,,,,,,,,,
E09000032,Wandsworth,20,455,"1,160",125,600,"1,055",285,765,"2,405",275,640,"5,065","1,915",0,300,615,"1,325","17,005",,,,,,,,,,,,,,,,,,
E09000033,Westminster,115,"1,550","3,115",140,"1,615","3,285",540,"2,535","5,295","4,435","5,210","12,275","5,230",35,630,"1,465","4,325","51,795",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,385,"8,750","17,815","1,725","9,050","19,870","5,095","13,370","39,465","12,230","15,115","72,745","29,210",85,"4,590","8,465","21,490","279,455",,,,,,,,,,,,,,,,,,
E13000002,Outer London,400,"8,095","39,635","5,000","10,250","20,255","10,490","10,980","33,045","3,730","10,325","47,715","22,770",15,"4,320","10,065","14,755","251,845",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"3,950","4,920","9,525","2,395","2,115","5,835","2,890","6,430","3,345","1,190","2,270","11,245","5,540",245,"1,285","3,005","5,280","71,465",,,,,,,,,,,,,,,,,,
E12000002,North West,"11,680","16,215","31,525","8,325","11,255","24,665","13,240","17,580","15,745","7,555","10,065","42,725","23,365",560,"4,430","11,425","16,700","267,055",,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,"11,580","13,385","23,785","6,820","7,695","15,340","12,335","13,745","10,055","3,765","6,880","26,310","14,085",645,"3,125","7,825","11,890","189,265",,,,,,,,,,,,,,,,,,
E12000004,East Midlands,"11,030","13,135","23,905","6,710","7,525","13,665","12,800","10,830","10,015","5,095","6,460","25,450","14,155",935,"3,190","6,885","12,230","184,015",,,,,,,,,,,,,,,,,,
E12000005,West Midlands,"12,480","15,565","26,150","7,600","9,780","16,965","15,360","12,490","12,715","3,620","7,730","31,175","24,630",700,"3,595","8,880","12,470","221,905",,,,,,,,,,,,,,,,,,
E12000006,East,"11,935","15,665","43,505","8,710","10,550","17,995","13,940","13,270","22,185","5,235","9,510","44,580","22,840","1,350","4,755","9,395","15,975","271,395",,,,,,,,,,,,,,,,,,
E12000007,London,785,"16,845","57,450","6,725","19,300","40,125","15,585","24,350","72,510","15,960","25,440","120,460","51,980",100,"8,910","18,530","36,245","531,300",,,,,,,,,,,,,,,,,,
E12000008,South East,"11,785","20,485","57,980","11,155","14,470","31,050","14,910","19,780","45,685","8,560","14,250","81,095","36,995","1,250","7,685","14,865","26,370","418,370",,,,,,,,,,,,,,,,,,
E12000009,South West,"24,200","13,745","32,435","7,475","7,245","15,595","8,490","15,675","16,295","4,655","8,570","35,590","17,840","1,250","3,940","8,795","14,405","236,200",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"99,425","129,960","306,260","65,915","89,935","181,235","109,550","134,150","208,550","55,635","91,175","418,630","211,430","7,035","40,915","89,605","151,565","2,390,970",,,,,,,,,,,,,,,,,,
W92000004,Wales,"13,760","6,640","13,495","3,725","3,125","8,505","4,840","8,900","4,635","1,900","2,905","12,060","8,225",535,"1,370","4,340","6,895","105,855",,,,,,,,,,,,,,,,,,
S92000003,Scotland,"17,335","10,770","20,950","4,645","5,160","13,385","5,920","14,435","10,525","3,315","5,875","30,845","13,260",55,"2,020","6,585","12,615","177,695",,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,"18,325","5,305","10,545","2,625","3,110","5,670","2,765","4,210","2,035","1,190","2,385","6,060","2,840",40,695,"2,735","4,645","75,180",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,England and Wales,"113,185","136,600","319,755","69,640","93,060","189,740","114,390","143,050","213,185","57,535","94,080","430,690","219,655","7,570","42,285","93,945","158,460","2,496,825",,,,,,,,,,,,,,,,,,
K03000001,Great Britain,"130,520","147,370","340,705","74,285","98,220","203,125","120,310","157,485","223,710","60,850","99,955","461,535","232,915","7,625","44,305","100,530","171,075","2,674,520",,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,"148,845","152,675","351,250","76,910","101,330","208,795","123,075","161,695","225,745","62,040","102,340","467,595","235,755","7,665","45,000","103,265","175,720","2,749,700",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
