Code,Area,% in employment who are employees - working age,,,,% in employment who are self employed - working age,,,,% in employment working full-time - working age,,,,% in employment working part-time - working age,,,,% of males in employment rate working full-time - working age,,,,% of males in employment rate working part-time - working age,,,,% of females in employment rate working full-time - working age,,,,% of females in employment rate working part-time - working age,,,
,,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,7400,7400,100,-,!,7400,!,!,7400,7400,100,-,!,7400,!,!,4800,4800,100,-,!,4800,!,!,!,!,!,-,!,!,!,!
E09000002,Barking and Dagenham,"79,900","95,800",83.4,4.4,"15,900","95,800",16.6,4.4,"71,700","95,800",74.8,5.1,"24,100","95,800",25.2,5.1,"48,000","51,800",92.6,4.3,"3,800","51,800",7.4,4.3,"23,700","44,000",53.9,8.3,"20,300","44,000",46.1,8.3
E09000003,Barnet,"153,900","191,500",80.3,4.6,"34,800","191,500",18.2,4.4,"147,000","191,500",76.7,4.9,"44,600","191,500",23.3,4.9,"87,900","100,400",87.6,5.4,"12,400","100,400",12.4,5.4,"59,000","91,200",64.8,7.8,"32,100","91,200",35.2,7.8
E09000004,Bexley,"97,400","118,600",82.2,4.0,"20,800","118,600",17.5,3.9,"91,900","118,600",77.5,4.3,"25,900","118,600",21.8,4.3,"55,100","60,500",91.1,4.2,"4,600","60,500",7.6,3.9,"36,800","58,100",63.3,7.0,"21,300","58,100",36.7,7.0
E09000005,Brent,"125,000","160,800",77.7,5.6,"35,200","160,800",21.9,5.6,"125,600","160,800",78.1,5.6,"35,200","160,800",21.9,5.6,"78,700","92,000",85.6,6.8,"13,200","92,000",14.4,6.8,"46,900","68,900",68.2,8.7,"21,900","68,900",31.8,8.7
E09000006,Bromley,"138,000","166,400",82.9,3.8,"28,100","166,400",16.9,3.8,"129,100","166,400",77.6,4.2,"37,300","166,400",22.4,4.2,"79,400","87,100",91.2,3.9,"7,700","87,100",8.8,3.9,"49,700","79,300",62.7,7.1,"29,600","79,300",37.3,7.1
E09000007,Camden,"102,900","130,300",79.0,4.9,"27,100","130,300",20.8,4.9,"97,500","130,300",74.8,5.3,"32,500","130,300",24.9,5.2,"55,900","70,300",79.4,7.0,"14,500","70,300",20.6,7.0,"41,600","60,000",69.4,7.8,"18,000","60,000",30.0,7.8
E09000008,Croydon,"163,000","191,500",85.1,3.6,"25,800","191,500",13.4,3.4,"142,000","191,500",74.1,4.4,"48,900","191,500",25.6,4.4,"83,500","97,400",85.8,5.1,"13,300","97,400",13.6,5.0,"58,500","94,100",62.1,6.7,"35,700","94,100",37.9,6.7
E09000009,Ealing,"134,700","161,600",83.3,4.9,"26,300","161,600",16.3,4.9,"129,600","161,600",80.2,5.3,"32,000","161,600",19.8,5.3,"78,500","93,400",84.0,6.6,"14,900","93,400",16.0,6.6,"51,200","68,300",75.0,8.4,"17,100","68,300",25.0,8.4
E09000010,Enfield,"118,000","144,400",81.8,4.9,"25,800","144,400",17.9,4.9,"107,900","144,400",74.7,5.5,"35,900","144,400",24.8,5.5,"62,900","73,900",85.1,6.7,"10,400","73,900",14.1,6.6,"45,000","70,400",63.9,8.3,"25,400","70,400",36.1,8.3
E09000011,Greenwich,"123,300","150,600",81.9,3.9,"27,200","150,600",18.1,3.9,"121,800","150,600",80.9,4.0,"28,800","150,600",19.1,4.0,"72,100","79,400",90.7,4.2,"7,400","79,400",9.3,4.2,"49,700","71,100",69.9,6.6,"21,400","71,100",30.1,6.6
E09000012,Hackney,"123,600","149,700",82.6,4.1,"25,200","149,700",16.8,4.1,"114,600","149,700",76.6,4.6,"33,900","149,700",22.7,4.6,"62,900","76,800",81.9,6.4,"13,100","76,800",17.0,6.2,"51,700","72,900",71.0,6.7,"20,900","72,900",28.6,6.6
E09000013,Hammersmith and Fulham,"81,300","95,900",84.7,4.4,"13,900","95,900",14.4,4.3,"83,300","95,900",86.9,4.2,"12,300","95,900",12.8,4.1,"50,000","54,400",91.9,4.8,"4,100","54,400",7.6,4.6,"33,300","41,500",80.3,6.9,"8,200","41,500",19.7,6.9
E09000014,Haringey,"109,800","150,400",73.0,4.9,"39,100","150,400",26.0,4.8,"114,100","150,400",75.8,4.7,"35,900","150,400",23.9,4.7,"67,100","80,000",83.9,6.0,"12,500","80,000",15.6,6.0,"47,000","70,400",66.7,7.0,"23,400","70,400",33.3,7.0
E09000015,Harrow,"87,200","107,800",80.8,5.2,"20,200","107,800",18.7,5.1,"86,000","107,800",79.7,5.3,"21,400","107,800",19.8,5.3,"55,400","61,500",90.0,5.4,"5,600","61,500",9.1,5.2,"30,600","46,400",66.0,9.3,"15,700","46,400",34.0,9.3
E09000016,Havering,"109,600","121,200",90.4,3.1,"11,600","121,200",9.6,3.1,"93,500","121,200",77.1,4.4,"27,700","121,200",22.9,4.4,"55,000","61,600",89.2,4.5,"6,600","61,600",10.8,4.5,"38,500","59,500",64.6,7.1,"21,100","59,500",35.4,7.1
E09000017,Hillingdon,"129,400","145,200",89.1,3.8,"15,400","145,200",10.6,3.8,"115,000","145,200",79.2,5.0,"29,700","145,200",20.5,5.0,"72,400","81,100",89.3,5.1,"8,200","81,100",10.1,5.0,"42,600","64,100",66.4,8.7,"21,500","64,100",33.6,8.7
E09000018,Hounslow,"109,700","130,900",83.8,5.3,"21,100","130,900",16.2,5.3,"107,200","130,900",81.9,5.5,"23,100","130,900",17.7,5.5,"69,700","77,200",90.3,5.7,"7,500","77,200",9.7,5.7,"37,500","53,700",69.8,9.9,"15,700","53,700",29.2,9.8
E09000019,Islington,"114,400","135,300",84.5,4.1,"20,900","135,300",15.5,4.1,"108,900","135,300",80.5,4.5,"26,400","135,300",19.5,4.5,"61,500","72,700",84.6,5.8,"11,200","72,700",15.4,5.8,"47,400","62,600",75.7,6.9,"15,200","62,600",24.3,6.9
E09000020,Kensington and Chelsea,"48,900","68,400",71.5,5.8,"17,500","68,400",25.5,5.6,"52,700","68,400",77.0,5.4,"15,700","68,400",23.0,5.4,"31,500","36,700",85.7,6.4,"5,300","36,700",14.3,6.4,"21,200","31,700",67.0,8.4,"10,400","31,700",33.0,8.4
E09000021,Kingston upon Thames,"79,700","92,600",86.0,3.9,"12,600","92,600",13.6,3.9,"72,600","92,600",78.4,4.6,"19,700","92,600",21.3,4.6,"43,700","49,300",88.6,5.0,"5,600","49,300",11.4,5.0,"28,900","43,200",66.8,7.5,"14,100","43,200",32.5,7.5
E09000022,Lambeth,"159,200","191,300",83.2,3.9,"30,900","191,300",16.1,3.8,"155,700","191,300",81.4,4.1,"35,100","191,300",18.3,4.0,"89,500","101,800",87.9,4.8,"11,700","101,800",11.5,4.7,"66,200","89,500",73.9,6.6,"23,400","89,500",26.1,6.6
E09000023,Lewisham,"146,400","172,200",85.0,3.6,"25,400","172,200",14.7,3.6,"138,300","172,200",80.3,4.0,"33,400","172,200",19.4,4.0,"80,400","88,100",91.3,4.2,"7,100","88,100",8.1,4.1,"57,900","84,200",68.8,6.4,"26,300","84,200",31.2,6.4
E09000024,Merton,"88,100","111,700",78.9,4.1,"22,700","111,700",20.4,4.1,"91,100","111,700",81.6,3.9,"20,500","111,700",18.4,3.9,"53,500","59,000",90.8,4.1,"5,400","59,000",9.2,4.1,"37,600","52,700",71.3,6.6,"15,100","52,700",28.7,6.6
E09000025,Newham,"143,400","179,000",80.1,4.8,"35,000","179,000",19.6,4.8,"145,400","179,000",81.2,4.7,"33,600","179,000",18.8,4.7,"97,400","104,200",93.5,4.1,"6,800","104,200",6.5,4.1,"48,000","74,800",64.1,8.5,"26,800","74,800",35.9,8.5
E09000026,Redbridge,"106,200","141,900",74.8,4.6,"35,700","141,900",25.2,4.6,"107,700","141,900",75.9,4.6,"34,200","141,900",24.1,4.6,"72,200","83,800",86.2,5.1,"11,600","83,800",13.8,5.1,"35,500","58,000",61.1,7.6,"22,600","58,000",38.9,7.6
E09000027,Richmond upon Thames,"83,300","101,600",81.9,4.4,"17,500","101,600",17.2,4.3,"77,400","101,600",76.1,4.8,"23,900","101,600",23.5,4.8,"48,000","53,400",89.9,4.9,"5,000","53,400",9.4,4.7,"29,400","48,300",60.8,7.8,"18,900","48,300",39.2,7.8
E09000028,Southwark,"146,000","182,700",79.9,4.2,"36,300","182,700",19.9,4.1,"131,900","182,700",72.2,4.6,"50,500","182,700",27.6,4.6,"79,900","94,600",84.4,5.4,"14,700","94,600",15.6,5.4,"51,900","88,100",59.0,7.2,"35,800","88,100",40.6,7.2
E09000029,Sutton,"84,900","103,500",82.0,3.8,"18,300","103,500",17.7,3.7,"77,500","103,500",74.9,4.2,"25,700","103,500",24.8,4.2,"49,000","53,200",92.0,3.8,"3,900","53,200",7.4,3.7,"28,500","50,300",56.7,6.8,"21,800","50,300",43.3,6.8
E09000030,Tower Hamlets,"141,500","168,200",84.1,4.3,"25,900","168,200",15.4,4.3,"145,600","168,200",86.6,4.0,"22,600","168,200",13.4,4.0,"95,500","106,800",89.5,4.7,"11,200","106,800",10.5,4.7,"50,100","61,400",81.5,7.3,"11,300","61,400",18.5,7.3
E09000031,Waltham Forest,"112,800","140,600",80.2,4.8,"27,800","140,600",19.8,4.8,"117,200","140,600",83.3,4.5,"23,500","140,600",16.7,4.5,"72,400","76,600",94.5,3.9,"4,200","76,600",5.5,*,"44,700","64,000",69.9,7.9,"19,300","64,000",30.1,7.9
E09000032,Wandsworth,"154,200","189,800",81.3,4.3,"35,100","189,800",18.5,4.3,"156,100","189,800",82.3,4.2,"33,000","189,800",17.4,4.2,"83,300","90,700",91.8,4.4,"6,800","90,700",7.5,4.2,"72,800","99,100",73.5,6.8,"26,200","99,100",26.5,6.8
E09000033,Westminster,"97,200","122,800",79.1,5.2,"25,600","122,800",20.9,5.2,"104,400","122,800",85.0,4.5,"17,900","122,800",14.6,4.5,"63,300","69,800",90.8,5.2,"5,900","69,800",8.5,5.0,"41,100","53,000",77.4,7.5,"12,000","53,000",22.6,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"1,013,800","1,154,500",87.8,0.8,"137,400","1,154,500",11.9,0.8,"855,100","1,154,500",74.1,1.0,"297,800","1,154,500",25.8,1.0,"519,200","588,600",88.2,1.1,"68,400","588,600",11.6,1.1,"335,900","565,900",59.4,1.6,"229,500","565,900",40.6,1.6
E12000002,North West,"2,896,100","3,347,500",86.5,0.6,"442,300","3,347,500",13.2,0.6,"2,540,100","3,347,500",75.9,0.7,"802,100","3,347,500",24.0,0.7,"1,554,900","1,756,700",88.5,0.7,"198,300","1,756,700",11.3,0.7,"985,200","1,590,800",61.9,1.1,"603,800","1,590,800",38.0,1.1
E12000003,Yorkshire and The Humber,"2,165,100","2,492,500",86.9,0.7,"316,800","2,492,500",12.7,0.7,"1,843,700","2,492,500",74.0,0.9,"644,000","2,492,500",25.8,0.9,"1,154,600","1,319,300",87.5,0.9,"162,300","1,319,300",12.3,0.9,"689,200","1,173,200",58.7,1.4,"481,800","1,173,200",41.1,1.4
E12000004,East Midlands,"1,964,900","2,264,000",86.8,0.9,"293,000","2,264,000",12.9,0.9,"1,692,600","2,264,000",74.8,1.1,"569,000","2,264,000",25.1,1.1,"1,057,200","1,182,400",89.4,1.1,"123,500","1,182,400",10.4,1.1,"635,400","1,081,600",58.7,1.8,"445,500","1,081,600",41.2,1.8
E12000005,West Midlands,"2,313,400","2,668,700",86.7,0.7,"348,800","2,668,700",13.1,0.7,"2,049,300","2,668,700",76.8,0.8,"613,300","2,668,700",23.0,0.8,"1,288,000","1,424,000",90.4,0.8,"131,500","1,424,000",9.2,0.8,"761,300","1,244,700",61.2,1.4,"481,800","1,244,700",38.7,1.4
E12000006,East,"2,501,800","2,939,000",85.1,0.8,"429,200","2,939,000",14.6,0.8,"2,212,200","2,939,000",75.3,0.9,"723,600","2,939,000",24.6,0.9,"1,384,600","1,542,300",89.8,0.9,"157,300","1,542,300",10.2,0.9,"827,500","1,396,800",59.2,1.5,"566,300","1,396,800",40.5,1.5
E12000007,London,"3,699,900","4,521,400",81.8,0.8,"800,600","4,521,400",17.7,0.8,"3,567,400","4,521,400",78.9,0.8,"944,700","4,521,400",20.9,0.8,"2,160,400","2,444,000",88.4,0.9,"276,300","2,444,000",11.3,0.9,"1,407,000","2,077,400",67.7,1.3,"668,400","2,077,400",32.2,1.3
E12000008,South East,"3,719,100","4,429,100",84.0,0.6,"694,200","4,429,100",15.7,0.6,"3,267,300","4,429,100",73.8,0.7,"1,158,300","4,429,100",26.2,0.7,"2,025,600","2,298,500",88.1,0.8,"270,100","2,298,500",11.8,0.8,"1,241,700","2,130,500",58.3,1.2,"888,100","2,130,500",41.7,1.2
E12000009,South West,"2,211,100","2,638,000",83.8,0.7,"418,700","2,638,000",15.9,0.7,"1,896,200","2,638,000",71.9,0.9,"738,600","2,638,000",28.0,0.9,"1,183,200","1,358,100",87.1,0.9,"173,000","1,358,100",12.7,0.9,"713,000","1,279,900",55.7,1.4,"565,600","1,279,900",44.2,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,"1,204,600","1,397,400",86.2,0.6,"183,800","1,397,400",13.1,0.6,"1,032,900","1,397,400",73.9,0.8,"361,700","1,397,400",25.9,0.8,"643,900","732,600",87.9,0.8,"87,100","732,600",11.9,0.8,"389,000","664,800",58.5,1.2,"274,600","664,800",41.3,1.2
S92000003,Scotland,"2,263,400","2,574,800",87.9,0.5,"303,000","2,574,800",11.8,0.5,"1,922,400","2,574,800",74.7,0.7,"648,300","2,574,800",25.2,0.7,"1,166,700","1,310,900",89.0,0.7,"141,300","1,310,900",10.8,0.7,"755,700","1,263,900",59.8,1.1,"507,000","1,263,900",40.1,1.1
N92000002,Northern Ireland,"711,500","839,400",84.8,1.0,"122,400","839,400",14.6,1.0,"639,400","839,400",76.2,1.2,"198,300","839,400",23.6,1.2,"390,500","437,800",89.2,1.3,"46,200","437,800",10.5,1.2,"248,900","401,500",62.0,2.0,"152,200","401,500",37.9,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"22,485,200","26,454,800",85.0,0.2,"3,880,900","26,454,800",14.7,0.2,"19,923,900","26,454,800",75.3,0.3,"6,491,600","26,454,800",24.5,0.3,"12,327,600","13,914,000",88.6,0.3,"1,560,600","13,914,000",11.2,0.3,"7,596,300","12,540,800",60.6,0.5,"4,931,000","12,540,800",39.3,0.5
K04000001,England and Wales,"23,689,800","27,852,200",85.1,0.2,"4,064,700","27,852,200",14.6,0.2,"20,956,800","27,852,200",75.2,0.3,"6,853,300","27,852,200",24.6,0.3,"12,971,500","14,646,600",88.6,0.3,"1,647,700","14,646,600",11.2,0.3,"7,985,300","13,205,600",60.5,0.4,"5,205,600","13,205,600",39.4,0.4
K03000001,Great Britain,"25,953,200","30,427,000",85.3,0.2,"4,367,700","30,427,000",14.4,0.2,"22,879,200","30,427,000",75.2,0.2,"7,501,600","30,427,000",24.7,0.2,"14,138,200","15,957,500",88.6,0.3,"1,789,000","15,957,500",11.2,0.3,"8,741,000","14,469,400",60.4,0.4,"5,712,600","14,469,400",39.5,0.4
K02000001,United Kingdom,"26,664,600","31,266,400",85.3,0.2,"4,490,100","31,266,400",14.4,0.2,"23,518,600","31,266,400",75.2,0.2,"7,700,000","31,266,400",24.6,0.2,"14,528,700","16,395,400",88.6,0.3,"1,835,200","16,395,400",11.2,0.3,"8,989,900","14,871,000",60.5,0.4,"5,864,800","14,871,000",39.4,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
