Code,Area,% in employment who are employees - working age,,,,% in employment who are self employed - working age,,,,% in employment working full-time - working age,,,,% in employment working part-time - working age,,,,% of males in employment rate working full-time - working age,,,,% of males in employment rate working part-time - working age,,,,% of females in employment rate working full-time - working age,,,,% of females in employment rate working part-time - working age,,,
,,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,9100,9100,100,-,!,9100,!,!,9100,9100,100,-,!,9100,!,!,#,#,100,-,!,#,!,!,!,!,!,-,!,!,!,!
E09000002,Barking and Dagenham,"78,800","93,800",83.9,5.9,"14,700","93,800",15.7,5.9,"71,900","93,800",76.6,6.8,"20,100","93,800",21.4,6.6,"44,500","49,700",89.5,7.2,"4,000","49,700",8.0,*,"27,400","44,100",62.0,10.9,"16,100","44,100",36.6,10.8
E09000003,Barnet,"157,300","191,400",82.2,4.8,"34,100","191,400",17.8,4.8,"144,000","191,400",75.2,5.4,"46,100","191,400",24.1,5.3,"95,900","110,000",87.1,5.7,"12,800","110,000",11.6,5.5,"48,100","81,400",59.1,8.9,"33,300","81,400",40.9,8.9
E09000004,Bexley,"106,900","123,300",86.6,3.9,"14,900","123,300",12.1,3.8,"92,400","123,300",74.9,5.0,"30,900","123,300",25.1,5.0,"54,700","59,200",92.4,4.5,"4,500","59,200",7.6,4.5,"37,700","64,100",58.8,7.8,"26,400","64,100",41.2,7.8
E09000005,Brent,"128,300","156,800",81.8,6.1,"27,800","156,800",17.7,6.0,"119,600","156,800",76.3,6.7,"37,200","156,800",23.7,6.7,"68,800","81,400",84.5,8.1,"12,600","81,400",15.5,8.1,"50,800","75,400",67.3,10.5,"24,600","75,400",32.7,10.5
E09000006,Bromley,"139,800","162,800",85.9,3.9,"21,700","162,800",13.4,3.8,"127,500","162,800",78.3,4.6,"35,300","162,800",21.7,4.6,"78,900","83,400",94.6,3.6,"4,500","83,400",5.4,3.6,"48,600","79,400",61.2,7.5,"30,800","79,400",38.8,7.5
E09000007,Camden,"100,900","129,500",77.9,5.9,"28,000","129,500",21.6,5.8,"108,100","129,500",83.5,5.3,"20,900","129,500",16.1,5.2,"59,900","69,100",86.7,6.8,"9,200","69,100",13.3,*,"48,200","60,400",79.8,8.1,"11,700","60,400",19.3,7.9
E09000008,Croydon,"163,300","187,400",87.1,3.9,"22,900","187,400",12.2,3.8,"142,700","187,400",76.2,5.0,"42,600","187,400",22.7,4.9,"81,600","98,500",82.8,6.3,"14,900","98,500",15.1,6.0,"61,200","88,900",68.8,7.6,"27,700","88,900",31.2,7.6
E09000009,Ealing,"139,700","173,000",80.8,5.4,"33,300","173,000",19.2,5.4,"140,200","173,000",81.1,5.4,"32,200","173,000",18.6,5.4,"83,500","96,700",86.3,6.5,"12,700","96,700",13.1,6.3,"56,700","76,200",74.4,9.0,"19,500","76,200",25.6,9.0
E09000010,Enfield,"124,300","150,900",82.3,5.3,"25,800","150,900",17.1,5.3,"118,500","150,900",78.5,5.7,"32,400","150,900",21.5,5.7,"68,800","74,400",92.4,5.4,"5,700","74,400",7.6,*,"49,800","76,500",65.0,9.2,"26,800","76,500",35.0,9.2
E09000011,Greenwich,"129,700","149,300",86.9,4.3,"19,500","149,300",13.1,4.3,"125,900","149,300",84.4,4.6,"23,300","149,300",15.6,4.6,"72,500","76,500",94.8,4.1,"4,000","76,500",5.2,*,"53,400","72,700",73.4,7.9,"19,300","72,700",26.6,7.9
E09000012,Hackney,"134,800","153,900",87.6,4.6,"18,600","153,900",12.1,4.5,"131,000","153,900",85.1,4.9,"22,900","153,900",14.9,4.9,"71,600","77,600",92.2,5.7,"6,100","77,600",7.8,*,"59,400","76,200",77.9,7.6,"16,800","76,200",22.1,7.6
E09000013,Hammersmith and Fulham,"78,900","97,100",81.2,5.6,"18,000","97,100",18.5,5.6,"82,600","97,100",85.0,5.1,"14,500","97,100",15.0,5.1,"54,100","58,200",93.1,5.2,"4,000","58,200",6.9,5.2,"28,500","39,000",73.1,9.1,"10,500","39,000",26.9,9.1
E09000014,Haringey,"117,800","146,000",80.7,5.2,"27,900","146,000",19.1,5.1,"110,200","146,000",75.5,5.6,"34,100","146,000",23.3,5.5,"58,300","71,200",81.8,7.6,"12,100","71,200",17.0,7.4,"51,900","74,800",69.4,8.0,"22,000","74,800",29.4,8.0
E09000015,Harrow,"90,600","112,700",80.4,5.9,"21,000","112,700",18.6,5.8,"88,700","112,700",78.7,6.1,"24,000","112,700",21.3,6.1,"57,100","63,400",90.0,6.1,"6,400","63,400",10.0,6.1,"31,600","49,200",64.2,10.6,"17,600","49,200",35.8,10.6
E09000016,Havering,"112,400","128,600",87.4,3.8,"15,700","128,600",12.2,3.8,"108,800","128,600",84.6,4.1,"19,800","128,600",15.4,4.1,"67,500","70,800",95.4,3.4,"3,300","70,800",4.6,*,"41,300","57,800",71.4,7.3,"16,500","57,800",28.6,7.3
E09000017,Hillingdon,"134,300","153,300",87.6,4.8,"19,000","153,300",12.4,4.8,"116,900","153,300",76.2,6.2,"36,400","153,300",23.8,6.2,"72,700","86,700",83.9,7.4,"14,000","86,700",16.1,7.4,"44,100","66,600",66.3,10.1,"22,500","66,600",33.7,10.1
E09000018,Hounslow,"119,300","134,500",88.7,4.9,"15,200","134,500",11.3,4.9,"110,200","134,500",81.9,5.9,"23,300","134,500",17.3,5.8,"61,700","68,100",90.6,6.4,"6,400","68,100",9.4,*,"48,500","66,400",73.0,9.7,"16,900","66,400",25.4,9.5
E09000019,Islington,"116,500","135,100",86.2,4.9,"17,700","135,100",13.1,4.8,"106,500","135,100",78.9,5.8,"27,300","135,100",20.2,5.7,"57,400","65,000",88.3,6.9,"7,600","65,000",11.7,6.9,"49,100","70,000",70.1,8.7,"19,600","70,000",28.1,8.6
E09000020,Kensington and Chelsea,"62,700","75,400",83.2,5.4,"12,700","75,400",16.8,5.4,"60,000","75,400",79.6,5.8,"15,400","75,400",20.4,5.8,"30,100","35,500",84.7,7.7,"5,400","35,500",15.3,7.7,"30,000","39,900",75.1,8.6,"9,900","39,900",24.9,8.6
E09000021,Kingston upon Thames,"76,000","92,100",82.5,4.4,"15,400","92,100",16.8,4.3,"73,200","92,100",79.5,4.7,"18,900","92,100",20.5,4.7,"47,300","52,700",89.7,4.8,"5,400","52,700",10.3,4.8,"25,900","39,400",65.8,8.1,"13,400","39,400",34.2,8.1
E09000022,Lambeth,"163,700","190,500",85.9,4.2,"24,500","190,500",12.9,4.1,"159,000","190,500",83.5,4.5,"28,100","190,500",14.8,4.3,"92,800","104,400",88.9,5.3,"8,700","104,400",8.3,4.7,"66,200","86,100",76.9,7.4,"19,400","86,100",22.6,7.3
E09000023,Lewisham,"151,600","179,500",84.5,4.1,"27,900","179,500",15.5,4.1,"144,400","179,500",80.4,4.5,"34,500","179,500",19.2,4.5,"85,400","92,200",92.7,4.3,"6,100","92,200",6.7,*,"59,000","87,300",67.5,7.3,"28,400","87,300",32.5,7.3
E09000024,Merton,"94,100","111,700",84.2,4.5,"16,600","111,700",14.9,4.4,"96,700","111,700",86.6,4.2,"15,000","111,700",13.4,4.2,"52,900","58,600",90.3,5.4,"5,700","58,600",9.7,5.4,"43,800","53,100",82.4,6.5,"9,300","53,100",17.6,6.5
E09000025,Newham,"158,100","185,800",85.1,5.5,"27,100","185,800",14.6,5.4,"153,500","185,800",82.6,5.9,"32,300","185,800",17.4,5.9,"97,500","113,400",86.0,7.2,"15,900","113,400",14.0,7.2,"56,000","72,400",77.3,9.8,"16,400","72,400",22.7,9.8
E09000026,Redbridge,"117,300","151,100",77.6,5.1,"33,800","151,100",22.4,5.1,"120,500","151,100",79.8,5.0,"30,600","151,100",20.2,5.0,"70,900","81,100",87.5,5.8,"10,100","81,100",12.5,5.8,"49,600","70,000",70.8,8.0,"20,400","70,000",29.2,8.0
E09000027,Richmond upon Thames,"83,300","102,700",81.1,4.5,"19,000","102,700",18.5,4.5,"75,500","102,700",73.5,5.1,"27,200","102,700",26.5,5.1,"48,200","53,800",89.6,5.1,"5,600","53,800",10.4,5.1,"27,300","48,900",55.8,8.0,"21,600","48,900",44.2,8.0
E09000028,Southwark,"157,700","186,500",84.5,4.3,"27,000","186,500",14.5,4.2,"151,500","186,500",81.2,4.6,"35,000","186,500",18.8,4.6,"77,100","88,900",86.7,5.9,"11,800","88,900",13.3,5.9,"74,400","97,600",76.3,7.0,"23,200","97,600",23.7,7.0
E09000029,Sutton,"82,300","102,300",80.4,5.1,"19,600","102,300",19.2,5.0,"80,600","102,300",78.8,5.2,"21,700","102,300",21.2,5.2,"47,400","51,500",92.0,5.0,"4,100","51,500",8.0,5.0,"33,200","50,800",65.4,8.5,"17,600","50,800",34.6,8.5
E09000030,Tower Hamlets,"151,300","171,200",88.3,4.9,"20,000","171,200",11.7,4.9,"146,800","171,200",85.8,5.4,"24,400","171,200",14.2,5.4,"92,100","100,400",91.7,5.7,"8,300","100,400",8.3,*,"54,700","70,800",77.3,9.7,"16,100","70,800",22.7,9.7
E09000031,Waltham Forest,"110,000","132,200",83.3,4.9,"22,100","132,200",16.7,4.9,"109,600","132,200",83.0,4.9,"22,500","132,200",17.0,4.9,"63,100","70,900",89.0,5.9,"7,800","70,900",11.0,5.9,"46,500","61,200",76.0,7.8,"14,700","61,200",24.0,7.8
E09000032,Wandsworth,"168,100","199,800",84.1,4.3,"30,500","199,800",15.2,4.2,"167,100","199,800",83.7,4.3,"32,700","199,800",16.3,4.3,"86,600","94,500",91.6,4.8,"7,900","94,500",8.4,4.8,"80,500","105,300",76.5,6.7,"24,800","105,300",23.5,6.7
E09000033,Westminster,"92,300","113,100",81.6,6.5,"19,200","113,100",16.9,6.3,"97,100","113,100",85.9,5.8,"15,000","113,100",13.2,5.7,"56,400","60,900",92.6,6.3,"4,500","60,900",7.4,*,"40,700","52,200",78.0,9.6,"10,500","52,200",20.1,9.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"1,037,100","1,164,800",89.0,0.8,"124,200","1,164,800",10.7,0.8,"867,100","1,164,800",74.4,1.1,"295,700","1,164,800",25.4,1.1,"518,300","592,600",87.5,1.3,"73,200","592,600",12.3,1.2,"348,800","572,200",61.0,1.8,"222,600","572,200",38.9,1.8
E12000002,North West,"2,910,100","3,321,700",87.6,0.6,"404,000","3,321,700",12.2,0.6,"2,539,200","3,321,700",76.4,0.8,"777,100","3,321,700",23.4,0.8,"1,534,000","1,728,900",88.7,0.9,"190,500","1,728,900",11.0,0.9,"1,005,200","1,592,800",63.1,1.3,"586,700","1,592,800",36.8,1.3
E12000003,Yorkshire and The Humber,"2,196,800","2,505,500",87.7,0.8,"302,600","2,505,500",12.1,0.8,"1,896,000","2,505,500",75.7,1.0,"607,200","2,505,500",24.2,1.0,"1,169,400","1,313,800",89.0,1.0,"142,700","1,313,800",10.9,1.0,"726,600","1,191,700",61.0,1.6,"464,500","1,191,700",39.0,1.6
E12000004,East Midlands,"1,935,000","2,224,600",87.0,1.0,"282,700","2,224,600",12.7,0.9,"1,663,500","2,224,600",74.8,1.2,"559,500","2,224,600",25.2,1.2,"1,041,900","1,165,500",89.4,1.2,"122,800","1,165,500",10.5,1.2,"621,600","1,059,100",58.7,2.0,"436,700","1,059,100",41.2,2.0
E12000005,West Midlands,"2,321,200","2,659,000",87.3,0.8,"333,500","2,659,000",12.5,0.8,"2,022,500","2,659,000",76.1,1.0,"633,600","2,659,000",23.8,1.0,"1,255,200","1,396,700",89.9,1.0,"139,800","1,396,700",10.0,1.0,"767,400","1,262,300",60.8,1.6,"493,800","1,262,300",39.1,1.6
E12000006,East,"2,517,700","2,917,100",86.3,0.8,"391,700","2,917,100",13.4,0.8,"2,203,000","2,917,100",75.5,1.0,"711,600","2,917,100",24.4,1.0,"1,374,300","1,533,900",89.6,1.0,"158,700","1,533,900",10.3,1.0,"828,700","1,383,300",59.9,1.7,"552,900","1,383,300",40.0,1.7
E12000007,London,"3,850,900","4,582,300",84.0,0.8,"711,300","4,582,300",15.5,0.8,"3,690,400","4,582,300",80.5,0.9,"876,600","4,582,300",19.1,0.9,"2,163,300","2,424,900",89.2,1.0,"252,100","2,424,900",10.4,1.0,"1,527,100","2,157,400",70.8,1.5,"624,500","2,157,400",28.9,1.5
E12000008,South East,"3,753,300","4,364,900",86.0,0.6,"594,900","4,364,900",13.6,0.6,"3,271,700","4,364,900",75.0,0.8,"1,087,100","4,364,900",24.9,0.8,"2,014,900","2,265,800",88.9,0.8,"248,100","2,265,800",11.0,0.8,"1,256,800","2,099,100",59.9,1.3,"838,900","2,099,100",40.0,1.3
E12000009,South West,"2,217,700","2,605,800",85.1,0.8,"378,800","2,605,800",14.5,0.8,"1,890,000","2,605,800",72.5,1.0,"713,200","2,605,800",27.4,1.0,"1,182,100","1,328,200",89.0,1.0,"145,300","1,328,200",10.9,1.0,"707,900","1,277,700",55.4,1.5,"568,000","1,277,700",44.5,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,"1,193,100","1,377,600",86.6,0.7,"174,100","1,377,600",12.6,0.7,"1,038,800","1,377,600",75.4,0.9,"335,600","1,377,600",24.4,0.9,"630,900","711,300",88.7,0.9,"78,700","711,300",11.1,0.9,"407,900","666,300",61.2,1.4,"256,900","666,300",38.6,1.4
S92000003,Scotland,"2,241,100","2,523,800",88.8,0.6,"275,400","2,523,800",10.9,0.6,"1,891,000","2,523,800",74.9,0.8,"630,000","2,523,800",25.0,0.8,"1,122,600","1,273,300",88.2,0.9,"148,400","1,273,300",11.7,0.9,"768,400","1,250,500",61.4,1.3,"481,600","1,250,500",38.5,1.3
N92000002,Northern Ireland,"707,400","827,100",85.5,1.2,"112,800","827,100",13.6,1.2,"634,900","827,100",76.8,1.4,"190,800","827,100",23.1,1.4,"385,500","434,500",88.7,1.5,"48,000","434,500",11.0,1.5,"249,300","392,600",63.5,2.3,"142,900","392,600",36.4,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"22,739,700","26,345,800",86.3,0.3,"3,523,800","26,345,800",13.4,0.3,"20,043,400","26,345,800",76.1,0.3,"6,261,700","26,345,800",23.8,0.3,"12,253,100","13,750,300",89.1,0.3,"1,473,100","13,750,300",10.7,0.3,"7,790,200","12,595,500",61.8,0.5,"4,788,600","12,595,500",38.0,0.5
K04000001,England and Wales,"23,932,800","27,723,400",86.3,0.2,"3,697,900","27,723,400",13.3,0.2,"21,082,100","27,723,400",76.0,0.3,"6,597,300","27,723,400",23.8,0.3,"12,884,100","14,461,600",89.1,0.3,"1,551,900","14,461,600",10.7,0.3,"8,198,100","13,261,800",61.8,0.5,"5,045,500","13,261,800",38.0,0.5
K03000001,Great Britain,"26,173,900","30,247,200",86.5,0.2,"3,973,300","30,247,200",13.1,0.2,"22,973,100","30,247,200",76.0,0.3,"7,227,300","30,247,200",23.9,0.3,"14,006,700","15,734,900",89.0,0.3,"1,700,300","15,734,900",10.8,0.3,"8,966,500","14,512,300",61.8,0.5,"5,527,000","14,512,300",38.1,0.5
K02000001,United Kingdom,"26,881,300","31,074,300",86.5,0.2,"4,086,100","31,074,300",13.1,0.2,"23,608,000","31,074,300",76.0,0.3,"7,418,200","31,074,300",23.9,0.3,"14,392,200","16,169,500",89.0,0.3,"1,748,200","16,169,500",10.8,0.3,"9,215,800","14,904,800",61.8,0.4,"5,669,900","14,904,800",38.0,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
